,Created_at,Text,Clean Text,ID,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,Screen_Name
4088,2022-03-21 14:19:39+00:00,RT @fidelfotografo: @GuillemCristo @SuperPititi Cierto el preludio del golpe de estado fue la huelga del transporte en chile,     cierto el preludio del golpe de estado fue la huelga del transporte en chile,1505912023078612995,es,0,8,2019-01-03 12:07:50+00:00,799,False,2487,Congo,,ZXabier
4091,2022-03-21 14:18:50+00:00,"Ya avisamos que los franquistas de VOX están detrás.
 
Huelga de transporte hoy, última hora | Vox llama a seguir con movilizaciones en la calle hasta que Sánchez sea desalojado de Moncloa https://t.co/2bJMsXnysa",ya avisamos que los franquistas de vox est n detr s    huelga de transporte hoy   ltima hora   vox llama a seguir con movilizaciones en la calle hasta que s nchez sea desalojado de moncloa  ,1505911817989722116,es,5,6,2011-06-17 17:51:54+00:00,11244,False,6075,Spain,,15M
4095,2022-03-21 14:18:12+00:00,El comité nacional de transporte también amenaza con huelga. El único que no secundará la huelga es este inútil. Que solo se pone en huelga si se lo dice @PabloEchenique https://t.co/205eYW5feZ,el comit  nacional de transporte tambi n amenaza con huelga  el  nico que no secundar  la huelga es este in til  que solo se pone en huelga si se lo dice    ,1505911657649905664,es,19,3,2021-01-09 14:32:50+00:00,2574,False,17138,,,GenticamenteS
4097,2022-03-21 14:17:48+00:00,Más de 500 camiones y 30 tractores cruzan Albacete por la huelga del transporte https://t.co/AoGoiOfCqj,m s de 500 camiones y 30 tractores cruzan albacete por la huelga del transporte  ,1505911558395863047,es,3,1,2012-03-25 00:45:12+00:00,1897,False,4822,Albacete / Casasimarro,,jmsevilla77
4100,2022-03-21 14:17:08+00:00,"Huelga de transporte, hoy, última hora, en directo: 21 de marzo https://t.co/gKBps8poe9",huelga de transporte  hoy   ltima hora  en directo  21 de marzo  ,1505911390300778497,es,0,0,2017-08-29 00:58:18+00:00,174,False,54977,,,RBoutaour
4101,2022-03-21 14:17:04+00:00,RT @JupolNacional: 🔵Desde #Jupol nuestro apoyo a los TRABAJADORES del transporte que se acogen a su DERECHO CONSTITUCIONAL para realizar la…,  desde  jupol nuestro apoyo a los trabajadores del transporte que se acogen a su derecho constitucional para realizar la ,1505911373942902786,es,0,199,2013-08-14 19:44:59+00:00,326,False,33928,"Valencia | Jaén, España",,Aguilera_101
4110,2022-03-21 14:13:59+00:00,"Hoy Teleberri/Pnv nos ha ofrecido al presidente del puerto de #Bilbao hablando de la huelga del transporte y a la vez de su candidatura para presidente del @AthleticClub y todo eso bajo el manto protector del Pnv y su panfleto mediático.
Todo queda en casa del Pnv.
Milana bonita.",hoy teleberri pnv nos ha ofrecido al presidente del puerto de  bilbao hablando de la huelga del transporte y a la vez de su candidatura para presidente del   y todo eso bajo el manto protector del pnv y su panfleto medi tico  todo queda en casa del pnv  milana bonita ,1505910599087280132,es,84,18,2014-09-10 20:44:28+00:00,11099,False,1495,Euskal Herria,,Erramun2014
4111,2022-03-21 14:13:58+00:00,"El transporte en huelga, los pescadores en huelga...
Cuando empiecen, propongo que los consumidores no compremos pescado SÓLO un día. A ver qué hacen con los excedentes de ese día.
Y al día siguiente, TAMPOCO compremos pescado. Dos días sin consumir ese producto.",el transporte en huelga  los pescadores en huelga    cuando empiecen  propongo que los consumidores no compremos pescado s lo un d a  a ver qu  hacen con los excedentes de ese d a  y al d a siguiente  tampoco compremos pescado  dos d as sin consumir ese producto ,1505910591285862404,es,0,0,2011-02-27 20:19:58+00:00,430,False,17807,"Sevilla, España",,hispalis55
4113,2022-03-21 14:13:13+00:00,"Huelga de transporte hoy, última hora | Vox llama a seguir con movilizaciones en la calle hasta que Sánchez sea desalojado de Moncloa https://t.co/5k6nsi9aGl Quizás hasta que ilegalicé a los fascistas?",huelga de transporte hoy   ltima hora   vox llama a seguir con movilizaciones en la calle hasta que s nchez sea desalojado de moncloa   quiz s hasta que ilegalic  a los fascistas ,1505910405864038405,es,0,0,2018-02-10 05:17:11+00:00,140,False,1028,Papayengue@gmail.com,,lacasa_madrid
4120,2022-03-21 14:11:32+00:00,@JaviCamino88 El no querer trabajar también lo culpan a la huelga de transporte 😂,  el no querer trabajar tambi n lo culpan a la huelga de transporte  ,1505909978573516805,es,0,0,2011-01-09 12:13:38+00:00,117,False,584,España,,Ssbreik
4121,2022-03-21 14:11:30+00:00,"Octavo día de la huelga del transporte: los camiones vuelven a la calle a la espera de ser ""escuchados"".
https://t.co/7qwuHPsMUU",octavo d a de la huelga del transporte  los camiones vuelven a la calle a la espera de ser  escuchados    ,1505909971812237313,es,60,25,2020-09-02 09:29:22+00:00,53727,False,8,España,,elliberal_com
